epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,72.2726,1.66731,2.25399,1.20713,1.07636,0,0.26556,0.39344,0.25083,0.14923,0.32066,0.2459,0.22022,0.1096,1.9126,3.44289,1.96357,1.25102,0,0.0016436,0.0016436,0.0016436
29,74.3751,1.65554,2.29623,1.24505,1.12483,0,0.36593,0.40984,0.26345,0.11952,0.38312,0.40984,0.28543,0.14544,1.88349,3.0223,1.98264,1.22358,0,0.0016304,0.0016304,0.0016304
30,76.4798,1.74703,2.32778,1.30587,1.08773,0,0.36593,0.40984,0.26345,0.11952,0.38312,0.40984,0.28543,0.14544,1.88349,3.0223,1.98264,1.22358,0,0.0016172,0.0016172,0.0016172
31,78.6054,1.65181,2.29146,1.29965,1.1215,0,0.59213,0.5082,0.4972,0.24673,0.56783,0.44262,0.46118,0.23349,1.75946,2.93644,1.5176,1.20918,0,0.001604,0.001604,0.001604
32,82.0134,1.61326,2.2962,1.21371,1.09986,0,0.59213,0.5082,0.4972,0.24673,0.56783,0.44262,0.46118,0.23349,1.75946,2.93644,1.5176,1.20918,0,0.0015908,0.0015908,0.0015908
33,85.1639,1.60214,2.19104,1.20103,1.14198,0,0.54634,0.47541,0.47519,0.24544,0.56883,0.38937,0.4239,0.21404,1.61436,2.89791,1.76526,1.17105,0,0.0015776,0.0015776,0.0015776
34,87.2017,1.59953,2.27177,1.32434,1.08354,0,0.54634,0.47541,0.47519,0.24544,0.56883,0.38937,0.4239,0.21404,1.61436,2.89791,1.76526,1.17105,0,0.0015644,0.0015644,0.0015644
35,89.2893,1.58788,2.3345,1.25889,1.0885,0,0.53918,0.44262,0.44542,0.22384,0.60331,0.39901,0.40351,0.21237,1.67597,2.99439,1.71827,1.21068,0,0.0015512,0.0015512,0.0015512
36,91.3736,1.61271,2.14595,1.16424,1.07204,0,0.53918,0.44262,0.44542,0.22384,0.60331,0.39901,0.40351,0.21237,1.67597,2.99439,1.71827,1.21068,0,0.001538,0.001538,0.001538
37,93.4561,1.4791,2.02548,1.13395,1.10071,0,0.57926,0.42888,0.40858,0.2156,0.56642,0.40695,0.40915,0.2045,1.67181,3.26007,1.75988,1.16385,0,0.0015248,0.0015248,0.0015248
38,95.5314,1.52042,2.19827,1.19924,1.06449,0,0.57926,0.42888,0.40858,0.2156,0.56642,0.40695,0.40915,0.2045,1.67181,3.26007,1.75988,1.16385,0,0.0015116,0.0015116,0.0015116
39,97.6639,1.6079,2.26053,1.17117,1.10792,0,0.85285,0.34426,0.46527,0.23681,0.89525,0.36066,0.44213,0.20977,1.63308,3.01844,1.47569,1.13596,0,0.0014984,0.0014984,0.0014984
40,99.7132,1.60898,2.01316,1.09658,1.10136,0,0.85285,0.34426,0.46527,0.23681,0.89525,0.36066,0.44213,0.20977,1.63308,3.01844,1.47569,1.13596,0,0.0014852,0.0014852,0.0014852
41,101.857,1.54955,2.01429,1.05384,1.04558,0,0.84881,0.40984,0.49841,0.26183,0.88276,0.42623,0.4645,0.22922,1.59793,2.89187,1.42875,1.13109,0,0.001472,0.001472,0.001472
42,104.882,1.50398,2.08572,1.10531,1.06005,0,0.84881,0.40984,0.49841,0.26183,0.88276,0.42623,0.4645,0.22922,1.59793,2.89187,1.42875,1.13109,0,0.0014588,0.0014588,0.0014588
