epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60776,2.13966,3.58761,4.01443,1.43299,0,0.19179,0.10638,0.0484,0.02345,0.19179,0.10638,0.05932,0.02195,1.90458,2.86951,3.1849,1.09965,0,4e-05,4e-05,4e-05
2,4.02713,2.0244,3.58633,4.22767,1.35183,0,0.0823,0.06383,0.04662,0.02249,0.14019,0.08511,0.0496,0.01864,1.86396,2.96319,3.85127,1.0499,0,9.934e-05,9.934e-05,9.934e-05
3,5.87717,1.90484,3.31364,2.84706,1.2944,0,0.35544,0.23468,0.15881,0.05007,0.35544,0.23468,0.20707,0.04419,1.75129,2.70353,3.61609,1.08926,0,0.000157888,0.000157888,0.000157888
4,8.83113,1.70479,2.55655,1.96883,1.19663,0,0.2313,0.29787,0.1429,0.05049,0.284,0.3617,0.21058,0.06781,1.84832,2.40131,3.70701,1.1227,0,0.000215644,0.000215644,0.000215644
5,11.8067,1.56384,2.38896,1.79083,1.05768,0,0.30991,0.19149,0.15131,0.0483,0.40148,0.23404,0.20582,0.0755,1.83092,2.09728,2.94479,1.12409,0,0.000272608,0.000272608,0.000272608
6,14.8311,1.62493,2.36288,1.72815,1.11009,0,0.33748,0.29787,0.19122,0.07914,0.4117,0.34043,0.26025,0.1144,1.88403,2.21435,4.54708,1.181,0,0.00032878,0.00032878,0.00032878
7,17.8657,1.58694,2.05926,1.58056,1.11189,0,0.54466,0.23404,0.25294,0.13649,0.59718,0.25532,0.27095,0.14139,1.60275,2.12635,4.07199,1.09913,0,0.00038416,0.00038416,0.00038416
8,20.8503,1.42407,1.9446,1.5655,1.05675,0,0.37148,0.25532,0.19121,0.09862,0.43548,0.29787,0.23062,0.11898,1.58483,2.1935,4.04467,1.08468,0,0.000438748,0.000438748,0.000438748
9,22.7694,1.57356,2.3108,1.55323,1.07152,0,0.66402,0.23404,0.22979,0.11793,0.61435,0.21277,0.24252,0.13062,1.6026,2.43598,3.12701,1.09385,0,0.000492544,0.000492544,0.000492544
10,24.6419,1.62299,2.0381,1.54404,1.10973,0,0.27404,0.31915,0.20237,0.11493,0.36225,0.23404,0.19004,0.1136,1.64293,2.60187,5.22987,1.11243,0,0.000545548,0.000545548,0.000545548
11,26.552,1.70593,2.17138,1.61436,1.15967,0,0.51608,0.25532,0.25254,0.12559,0.54141,0.21277,0.22639,0.11474,1.72935,2.57206,3.63012,1.16513,0,0.00059776,0.00059776,0.00059776
12,28.4754,1.5345,2.15608,1.43216,1.09958,0,0.38511,0.29326,0.22795,0.11594,0.44938,0.2766,0.21876,0.10568,1.73189,2.58035,3.25332,1.14249,0,0.00064918,0.00064918,0.00064918
13,30.3503,1.50257,2.02015,1.53014,1.05338,0,0.59884,0.31915,0.28694,0.12161,0.55892,0.29787,0.27274,0.12589,1.84184,2.6663,3.24752,1.11967,0,0.000699808,0.000699808,0.000699808
14,32.2184,1.5817,2.12465,1.29094,1.02806,0,0.43582,0.34043,0.28846,0.14464,0.55372,0.2766,0.2638,0.12106,1.78097,3.00495,2.98274,1.13217,0,0.000749644,0.000749644,0.000749644
15,34.1275,1.50098,2.09224,1.22787,1.08495,0,0.43582,0.34043,0.28846,0.14464,0.55372,0.2766,0.2638,0.12106,1.78097,3.00495,2.98274,1.13217,0,0.000798688,0.000798688,0.000798688
16,36.0932,1.51017,2.10031,1.27868,1.05905,0,0.68237,0.38298,0.38496,0.14689,0.59427,0.31915,0.25119,0.10609,1.86768,3.06727,3.10362,1.23483,0,0.00084694,0.00084694,0.00084694
17,38.3458,1.65718,2.20338,1.3765,1.20769,0,0.74684,0.34043,0.37854,0.16233,0.38398,0.34043,0.25061,0.09336,1.79796,4.019,3.4867,1.14588,0,0.0008944,0.0008944,0.0008944
18,40.237,1.48743,1.97626,1.22182,1.08155,0,0.74684,0.34043,0.37854,0.16233,0.38398,0.34043,0.25061,0.09336,1.79796,4.019,3.4867,1.14588,0,0.000941068,0.000941068,0.000941068
