image,detections,masks,max_confidence,avg_confidence,total_mask_area_px,coverage_pct,image_width_px,image_height_px
52a41c5f-66.jpg,24,24,0.8152,0.5213,124263,5.3934,1920,1200
8405ce2c-42.jpg,4,4,0.7588,0.5059,60980,2.6467,1920,1200
9df46e29-67.jpg,15,15,0.925,0.691,317362,13.7744,1920,1200
c17f9757-21.jpg,6,6,0.7296,0.5883,128029,5.5568,1920,1200
c8d2564b-13.jpg,10,10,0.9075,0.6566,283654,12.3114,1920,1200
f590c007-46.jpg,5,5,0.7325,0.4655,142543,6.1868,1920,1200
f8c27f4a-12.jpg,15,15,0.929,0.6823,329786,14.3136,1920,1200
