epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,70.4243,1.51646,2.00803,1.18083,1.10465,0,0.57388,0.48333,0.40049,0.22503,0.57388,0.48333,0.40279,0.23175,1.48389,2.01743,1.55495,1.20296,0,0.0016436,0.0016436,0.0016436
29,72.5088,1.65816,1.96608,1.18784,1.10757,0,0.52059,0.6,0.50014,0.27252,0.51131,0.62783,0.4958,0.28122,1.4406,1.85884,1.66676,1.1749,0,0.0016304,0.0016304,0.0016304
30,74.5677,1.77277,2.19606,1.28372,1.07183,0,0.52059,0.6,0.50014,0.27252,0.51131,0.62783,0.4958,0.28122,1.4406,1.85884,1.66676,1.1749,0,0.0016172,0.0016172,0.0016172
31,76.8996,1.54523,2.01637,1.14099,1.07084,0,0.65073,0.58333,0.59553,0.31721,0.71425,0.6,0.57896,0.32749,1.39824,1.75828,1.30262,1.14786,0,0.001604,0.001604,0.001604
32,78.9599,1.74524,1.99436,1.23687,1.14567,0,0.65073,0.58333,0.59553,0.31721,0.71425,0.6,0.57896,0.32749,1.39824,1.75828,1.30262,1.14786,0,0.0015908,0.0015908,0.0015908
33,81.0534,1.61287,1.94743,1.24382,1.12507,0,0.64141,0.61667,0.63336,0.32721,0.6118,0.58333,0.58547,0.35178,1.46905,1.69493,1.27666,1.15419,0,0.0015776,0.0015776,0.0015776
34,83.12,1.67685,2.1781,1.13162,1.12798,0,0.64141,0.61667,0.63336,0.32721,0.6118,0.58333,0.58547,0.35178,1.46905,1.69493,1.27666,1.15419,0,0.0015644,0.0015644,0.0015644
35,85.2122,1.59666,2.01989,1.0952,1.10308,0,0.68993,0.51924,0.58051,0.31854,0.54313,0.61667,0.53512,0.2961,1.4268,1.77658,1.45205,1.11086,0,0.0015512,0.0015512,0.0015512
36,87.2822,1.58887,1.99398,1.11075,1.04965,0,0.68993,0.51924,0.58051,0.31854,0.54313,0.61667,0.53512,0.2961,1.4268,1.77658,1.45205,1.11086,0,0.001538,0.001538,0.001538
37,89.3576,1.58076,2.05966,1.15479,1.09469,0,0.49208,0.55,0.45293,0.26063,0.50684,0.56527,0.46548,0.2803,1.50543,1.83091,1.79463,1.2138,0,0.0015248,0.0015248,0.0015248
38,91.4182,1.71404,2.20801,1.2047,1.05742,0,0.49208,0.55,0.45293,0.26063,0.50684,0.56527,0.46548,0.2803,1.50543,1.83091,1.79463,1.2138,0,0.0015116,0.0015116,0.0015116
39,93.5312,1.67795,2.12249,1.21174,1.08467,0,0.51973,0.58333,0.50355,0.27573,0.55088,0.63333,0.53388,0.3204,1.52207,1.91959,1.71133,1.15395,0,0.0014984,0.0014984,0.0014984
40,95.6444,1.67554,2.11335,1.11997,1.06914,0,0.51973,0.58333,0.50355,0.27573,0.55088,0.63333,0.53388,0.3204,1.52207,1.91959,1.71133,1.15395,0,0.0014852,0.0014852,0.0014852
41,97.7446,1.61794,2.02756,1.07224,1.05996,0,0.79809,0.5,0.56671,0.3327,0.80741,0.5,0.61189,0.38284,1.45551,1.85916,1.7303,1.13791,0,0.001472,0.001472,0.001472
42,99.794,1.60162,1.94933,1.08582,1.08077,0,0.79809,0.5,0.56671,0.3327,0.80741,0.5,0.61189,0.38284,1.45551,1.85916,1.7303,1.13791,0,0.0014588,0.0014588,0.0014588
43,101.849,1.51049,1.95181,1.01765,1.04624,0,0.53055,0.6,0.55347,0.31886,0.59184,0.53171,0.55899,0.32885,1.41635,1.91817,1.67822,1.11147,0,0.0014456,0.0014456,0.0014456
44,103.903,1.51092,1.8547,0.99148,1.04854,0,0.53055,0.6,0.55347,0.31886,0.59184,0.53171,0.55899,0.32885,1.41635,1.91817,1.67822,1.11147,0,0.0014324,0.0014324,0.0014324
45,105.992,1.68941,2.21706,1.1131,1.09736,0,0.5902,0.56667,0.57699,0.33602,0.5902,0.56667,0.58693,0.32962,1.38732,1.85754,1.45621,1.11543,0,0.0014192,0.0014192,0.0014192
46,108.064,1.63668,1.9898,1.05735,1.08516,0,0.5902,0.56667,0.57699,0.33602,0.5902,0.56667,0.58693,0.32962,1.38732,1.85754,1.45621,1.11543,0,0.001406,0.001406,0.001406
47,110.398,1.63777,2.11289,1.07867,1.06371,0,0.7542,0.53333,0.65947,0.36878,0.79473,0.58081,0.6979,0.38872,1.40491,1.80883,1.33819,1.12801,0,0.0013928,0.0013928,0.0013928
48,113.566,1.59433,1.98719,1.03902,1.04977,0,0.7542,0.53333,0.65947,0.36878,0.79473,0.58081,0.6979,0.38872,1.40491,1.80883,1.33819,1.12801,0,0.0013796,0.0013796,0.0013796
49,116.737,1.5344,1.90345,1.01716,1.05775,0,0.87226,0.55,0.68342,0.39532,0.87746,0.61667,0.72015,0.43887,1.38193,1.86572,1.37651,1.12738,0,0.0013664,0.0013664,0.0013664
50,119.885,1.42745,1.79488,1.06006,1.08486,0,0.87226,0.55,0.68342,0.39532,0.87746,0.61667,0.72015,0.43887,1.38193,1.86572,1.37651,1.12738,0,0.0013532,0.0013532,0.0013532
51,123.005,1.63693,2.04732,1.04053,1.03566,0,0.75693,0.61667,0.63945,0.38234,0.78607,0.65,0.67949,0.41618,1.36652,1.82786,1.45044,1.0928,0,0.00134,0.00134,0.00134
52,125.045,1.52463,2.03222,1.0354,1.02998,0,0.75693,0.61667,0.63945,0.38234,0.78607,0.65,0.67949,0.41618,1.36652,1.82786,1.45044,1.0928,0,0.0013268,0.0013268,0.0013268
53,127.141,1.40236,1.90613,0.98053,1.01999,0,0.71744,0.59253,0.6194,0.36758,0.83968,0.61115,0.66318,0.39104,1.42041,1.98845,1.37797,1.16091,0,0.0013136,0.0013136,0.0013136
54,129.217,1.59362,2.01621,1.01813,1.02922,0,0.71744,0.59253,0.6194,0.36758,0.83968,0.61115,0.66318,0.39104,1.42041,1.98845,1.37797,1.16091,0,0.0013004,0.0013004,0.0013004
